,ymd,hour,data_source,sum(total_bytes)
257,2019-06-24,7,bioconda,9469847704
258,2019-02-27,8,anaconda,1512517791186
259,2019-01-26,16,anaconda,598338734864
260,2018-07-04,14,anaconda,672125294256
261,2018-01-23,8,anaconda,467703521973
262,2019-07-31,5,bioconda,9822540368
263,2017-03-31,16,conda-forge,67418089
264,2019-02-15,17,bioconda,15084309
265,2018-04-23,15,anaconda,761593338591
266,2019-04-10,9,bioconda,23950372
267,2017-02-01,12,anaconda,204714161547
268,2018-10-25,8,bioconda,18162166
269,2018-04-11,13,bioconda,5364383
270,2019-05-28,11,pyviz,203523
271,2017-06-02,14,anaconda,293549510977
272,2017-04-13,16,bioconda,4173014
273,2017-10-07,16,conda-forge,46160108
274,2018-08-13,8,anaconda,736644628991
275,2018-11-02,3,bioconda,17624215
276,2017-09-08,23,anaconda,300771932175
277,2019-01-15,7,bioconda,5805601
278,2019-03-13,11,conda-forge,320153888388
279,2018-07-08,15,conda-forge,83299118
280,2018-04-21,1,anaconda,296058059019
281,2018-03-03,7,anaconda,462402280522
282,2019-02-22,20,conda-forge,214610076507
283,2018-07-21,3,conda-forge,173564197
284,2018-11-10,4,bioconda,1927188
285,2018-01-22,8,bioconda,5412038
286,2019-05-12,23,pyviz,239676
287,2018-09-17,1,bioconda,3478496
288,2019-02-28,9,pyviz,384911
289,2019-05-29,0,conda-forge,171968522892
290,2018-02-24,1,bioconda,1138487
291,2019-08-18,18,anaconda,404974982824
292,2017-06-17,7,conda-forge,35843523
293,2017-03-07,9,anaconda,191600575458
294,2018-08-09,3,anaconda,672337578135
295,2019-08-30,14,pyviz,350000
296,2019-05-15,0,bioconda,6817316017
297,2018-07-17,7,conda-forge,192380682
298,2017-04-12,5,conda-forge,29799084
299,2018-07-09,0,bioconda,6615680
300,2019-08-19,9,conda-forge,231085205308
301,2018-02-26,21,bioconda,12207150
302,2016-11-28,4,anaconda,78334440131
303,2019-03-28,6,bioconda,14562250
304,2019-05-10,3,conda-forge,165871998790
305,2019-06-29,17,conda-forge,91039294763
306,2018-04-27,20,pyviz,28264
307,2019-08-29,13,anaconda,880904718562
308,2017-05-20,21,anaconda,116171609129
309,2018-05-15,17,anaconda,716063751232
310,2019-03-25,10,bioconda,9294311
311,2019-01-25,10,conda-forge,196128769485
312,2017-12-08,19,anaconda,469266764959
313,2019-08-23,18,bioconda,6245925743
314,2017-08-07,11,bioconda,3892597
315,2017-08-02,10,bioconda,4307956
316,2018-03-30,7,pyviz,4657
317,2016-11-04,22,anaconda,239644483753
318,2017-05-04,21,anaconda,256910182480
319,2019-07-27,7,bioconda,1344398793
320,2017-12-12,16,bioconda,7244546
321,2019-07-22,15,pyviz,159985
322,2018-02-11,5,conda-forge,55283727
323,2018-07-02,21,conda-forge,227657147
324,2016-11-10,16,anaconda,198531302822
325,2016-11-24,0,anaconda,98349469610
326,2018-12-01,14,bioconda,2043548
327,2019-05-28,14,pyviz,850627
328,2017-11-11,10,bioconda,3587247
329,2018-03-31,23,anaconda,210325974883
330,2018-05-27,18,pyviz,18550
331,2019-04-26,17,anaconda,1345570985768
332,2018-11-24,11,anaconda,502697099987
333,2019-03-26,16,bioconda,14295610
334,2017-08-14,8,bioconda,1845154
335,2019-08-23,3,pyviz,253533
336,2018-11-17,12,bioconda,3900427
337,2018-02-15,2,conda-forge,108193347
338,2017-07-28,3,anaconda,242252685731
339,2019-06-05,1,pyviz,334838
340,2016-11-21,2,anaconda,94725761174
341,2019-07-30,23,conda-forge,225446779730
342,2019-03-19,6,bioconda,9596656
343,2017-07-28,21,conda-forge,103232213
344,2018-05-13,5,conda-forge,88435422
345,2019-05-16,19,pyviz,133661
346,2019-08-24,12,conda-forge,111026140018
347,2018-04-15,20,conda-forge,111753583
348,2018-08-27,20,anaconda,950708814117
349,2017-07-22,21,conda-forge,28623868
350,2018-04-16,12,conda-forge,165369157
351,2018-09-28,1,bioconda,2888527
352,2019-02-26,3,conda-forge,145376905500
353,2018-09-14,11,bioconda,6596439
354,2018-09-09,5,anaconda,386412025737
355,2019-01-03,23,anaconda,748401498692
356,2019-01-10,19,anaconda,1085909695744
357,2017-12-21,8,conda-forge,75529849
358,2017-06-17,19,bioconda,863250
359,2017-09-23,6,conda-forge,20258644
360,2017-05-26,9,anaconda,201896106068
361,2017-11-26,8,bioconda,118700
362,2017-03-31,6,bioconda,956253
363,2018-05-12,1,conda-forge,68819625
364,2016-12-13,16,anaconda,205160617651
365,2019-04-05,10,pyviz,106306
366,2017-06-06,1,bioconda,3632267
367,2016-11-01,20,anaconda,198175150836
368,2016-11-06,6,anaconda,33628243166
369,2016-11-15,15,anaconda,233376453678
370,2016-10-30,21,anaconda,67101459221
371,2016-11-06,0,anaconda,54571585556
372,2019-03-14,4,conda-forge,139079571015
373,2017-06-26,13,conda-forge,77287350
374,2017-08-02,23,conda-forge,57151804
375,2018-06-14,2,bioconda,7814237
376,2018-08-19,8,bioconda,2881660
377,2018-05-09,19,bioconda,5433529
378,2019-05-24,22,bioconda,13326467481
379,2019-02-09,6,conda-forge,64768217918
380,2018-01-12,19,conda-forge,184738313
381,2017-08-21,17,anaconda,324366727843
382,2018-05-11,15,bioconda,7724258
383,2017-05-25,4,conda-forge,38508734
384,2019-05-23,4,conda-forge,141304014013
385,2019-07-06,17,pyviz,141654
386,2017-06-20,13,bioconda,3693315
387,2017-09-04,9,bioconda,3378990
388,2019-06-06,6,pyviz,259792
389,2017-02-22,3,anaconda,204099194648
390,2017-02-18,4,anaconda,196682533685
391,2019-05-04,10,anaconda,752059602945
392,2018-10-07,21,pyviz,674989
393,2017-02-01,13,anaconda,203934054372
394,2019-02-28,6,pyviz,93948
395,2017-05-13,11,conda-forge,27974361
396,2019-04-18,10,bioconda,21648964
397,2018-07-23,16,conda-forge,246233211
398,2017-03-30,15,conda-forge,76773633
399,2017-07-07,17,conda-forge,80923973
400,2017-06-26,16,anaconda,317279881965
401,2019-07-31,16,bioconda,21180982977
402,2018-09-16,10,anaconda,356936023844
403,2019-01-14,23,bioconda,7522214
404,2019-07-11,10,bioconda,6668333896
405,2019-01-12,10,conda-forge,86775506810
406,2017-09-29,18,conda-forge,152942941
407,2018-02-04,22,anaconda,305799022218
408,2018-05-04,23,bioconda,2260853
409,2018-11-16,4,conda-forge,173831856
410,2018-09-24,1,bioconda,2753283
411,2019-02-15,14,bioconda,13215391
412,2018-12-18,11,anaconda,1000756488309
413,2019-06-24,14,anaconda,1927224190413
414,2018-01-19,13,conda-forge,122312158
415,2018-11-10,16,conda-forge,179617397
416,2018-08-30,4,conda-forge,214276007
417,2019-02-24,21,anaconda,790620500819
418,2017-11-23,15,conda-forge,112886881
419,2018-10-17,3,anaconda,881509968608
420,2018-07-25,9,anaconda,656158674658
421,2019-01-23,7,pyviz,13827
422,2017-06-27,5,anaconda,158990830365
423,2017-11-16,12,bioconda,5582167
424,2018-06-26,11,anaconda,535024169076
425,2018-08-02,7,anaconda,348602954204
426,2019-02-12,12,bioconda,9752416
427,2019-03-21,19,bioconda,12121572
428,2017-11-16,14,conda-forge,169951420
429,2019-04-15,11,bioconda,13460082
430,2018-12-24,18,bioconda,3645201
431,2017-04-23,12,bioconda,102436
432,2018-12-14,5,anaconda,731116801939
433,2018-05-29,17,conda-forge,239536503
434,2018-11-18,4,anaconda,414601986062
435,2017-08-14,20,anaconda,340663964711
436,2017-11-12,16,anaconda,194250953764
437,2017-09-06,17,bioconda,3166669
438,2017-10-02,0,anaconda,212634716597
439,2017-03-28,23,anaconda,221579685452
440,2017-04-16,10,bioconda,41943
441,2017-07-28,14,conda-forge,125045453
442,2018-12-19,7,pyviz,266600
443,2018-07-23,7,conda-forge,161857853
444,2018-06-15,18,anaconda,532009541895
445,2019-07-16,13,pyviz,118814
446,2019-04-27,5,bioconda,3945441
447,2017-01-22,16,anaconda,113717064174
448,2018-12-09,2,conda-forge,164361455276
449,2017-08-07,17,anaconda,308699312985
450,2018-01-01,9,bioconda,991040
451,2018-07-11,22,pyviz,64338
452,2018-03-17,1,anaconda,269685618875
453,2018-05-15,8,conda-forge,150241214
454,2017-07-15,16,bioconda,754098
455,2018-09-23,16,anaconda,547838328656
456,2018-12-05,16,conda-forge,403220215335
457,2019-03-01,12,anaconda,954970014515
458,2018-08-01,3,bioconda,14719176
459,2018-06-27,1,anaconda,438056839785
460,2017-03-31,18,conda-forge,99883583
461,2019-08-29,6,anaconda,764604191000
462,2019-05-12,19,conda-forge,117577672455
463,2016-12-20,14,anaconda,149751276103
464,2019-08-26,8,anaconda,959224562616
465,2018-03-21,17,anaconda,491899259228
466,2019-03-09,18,bioconda,6538260
467,2018-12-28,15,bioconda,34456463
468,2017-09-23,17,conda-forge,42069825
469,2018-04-14,19,conda-forge,67621229
470,2018-01-24,19,anaconda,579108543575
471,2019-04-11,12,conda-forge,201824682904
472,2019-05-22,7,pyviz,77961
473,2019-07-31,7,conda-forge,249894713646
474,2018-12-01,14,pyviz,1203688
475,2018-04-23,18,bioconda,7083090
476,2019-06-29,0,pyviz,121555
477,2017-04-24,8,bioconda,3768943
478,2017-06-29,9,bioconda,4087548
479,2018-05-21,22,anaconda,549178897809
480,2018-05-05,8,conda-forge,51102244
481,2019-06-12,22,bioconda,2985030881
482,2018-11-08,21,anaconda,1035249239355
483,2018-08-17,4,conda-forge,223147528
484,2018-08-16,2,conda-forge,255760738
485,2019-08-11,14,conda-forge,117511950851
486,2017-06-20,0,anaconda,171920378093
487,2018-02-14,16,anaconda,515062296872
488,2019-07-10,4,bioconda,4699953001
489,2018-07-13,2,conda-forge,206999802
490,2017-04-05,5,bioconda,1007307
491,2018-11-12,1,conda-forge,163273448
492,2017-07-29,13,bioconda,470753
493,2019-07-03,3,pyviz,287299
494,2017-08-17,23,conda-forge,66976433
495,2017-07-17,9,conda-forge,45891182
496,2017-01-09,4,anaconda,95816280273
497,2019-08-27,3,anaconda,928341536167
498,2019-05-31,3,anaconda,1545981757654
499,2017-10-30,5,anaconda,193922630433
500,2018-09-04,1,bioconda,3984326
501,2018-03-10,5,conda-forge,46480272
502,2017-11-19,16,bioconda,1038715
503,2019-05-04,4,anaconda,1113654876624
504,2018-02-26,0,bioconda,2231675
505,2017-10-08,6,bioconda,780798
506,2019-01-25,7,conda-forge,204531096286
507,2017-11-10,9,bioconda,5430636
508,2017-03-29,6,anaconda,162390767739
509,2017-08-31,9,conda-forge,105806964
510,2018-08-09,17,anaconda,903196276933
511,2018-03-17,21,conda-forge,68771812
512,2019-05-23,7,conda-forge,232674247531
513,2019-04-09,4,anaconda,1251612206531
514,2018-02-07,5,conda-forge,91766721
515,2018-08-31,8,anaconda,715146308804
516,2018-10-10,14,bioconda,3461450
517,2019-05-27,12,pyviz,208318
518,2018-04-25,11,bioconda,4007432
519,2017-10-23,17,bioconda,2386748
520,2018-09-16,16,anaconda,363087859824
521,2017-12-04,10,conda-forge,123287714
522,2017-06-24,3,conda-forge,26677879
523,2019-05-09,2,anaconda,1036023467679
524,2018-07-31,22,anaconda,640185267105
525,2017-11-05,6,anaconda,228109851769
526,2018-06-23,20,anaconda,255601944989
527,2019-03-19,9,conda-forge,295198560156
528,2018-12-16,14,anaconda,618469409241
529,2018-06-21,20,pyviz,54820
530,2019-02-06,2,pyviz,51513
531,2018-03-31,21,anaconda,212595358925
532,2019-01-10,22,pyviz,442735
533,2018-02-03,6,anaconda,270007982484
